datetime,PM2.5,SO2,NO2,CO,O3,TEMP,RAIN
2013-03-03 01:00:00,109.0,80.0,101.0,2200.0,2.0,-2.0,0.0
2013-03-03 02:00:00,110.0,98.0,99.0,2399.0,2.0,-2.8,0.0
2013-03-03 03:00:00,105.0,88.0,100.0,2500.0,2.0,-2.6,0.0
2013-03-03 04:00:00,106.0,79.0,92.0,2799.0,2.0,-4.3,0.0
2013-03-03 05:00:00,101.0,64.0,87.0,2399.0,2.0,-5.6,0.0
2013-03-03 06:00:00,91.0,67.0,87.0,2100.0,2.0,-5.8,0.0
2013-03-03 07:00:00,79.0,83.0,91.0,2000.0,2.0,-3.1,0.0
2013-03-03 08:00:00,77.0,123.0,90.0,2299.0,2.0,0.7,0.0
2013-03-03 09:00:00,83.0,135.0,90.0,2600.0,3.0,3.5,0.0
2013-03-03 10:00:00,94.0,116.0,90.0,1800.0,9.0,6.5,0.0
2013-03-03 11:00:00,96.0,89.0,93.0,1600.0,14.0,11.4,0.0
2013-03-03 12:00:00,91.0,77.0,99.0,1600.0,14.0,13.8,0.0
2013-03-03 13:00:00,98.0,50.0,81.0,1200.0,33.0,16.0,0.0
2013-03-03 14:00:00,72.0,31.0,57.0,900.0,51.0,16.7,0.0
2013-03-03 15:00:00,48.0,14.0,17.0,500.0,77.0,16.9,0.0
2013-03-03 16:00:00,28.0,12.0,17.0,400.0,77.0,16.4,0.0
2013-03-03 17:00:00,26.0,9.0,19.0,400.0,73.0,13.1,0.0
2013-03-03 18:00:00,24.0,8.0,27.0,500.0,66.0,8.7,0.0
2013-03-03 19:00:00,19.0,26.0,98.0,1300.0,11.0,12.2,0.0
2013-03-03 20:00:00,60.0,64.0,135.0,2000.0,4.0,11.7,0.0
2013-03-03 21:00:00,117.0,28.0,100.0,1100.0,5.0,5.3,0.0
2013-03-03 22:00:00,54.0,28.0,90.0,1200.0,2.0,3.1,0.0
2013-03-03 23:00:00,46.0,29.0,84.0,1200.0,2.0,5.2,0.0
2013-03-04 00:00:00,42.0,51.0,86.0,1300.0,4.0,7.7,0.0
2013-03-04 01:00:00,49.0,39.0,64.0,1000.0,25.0,8.2,0.0
2013-03-04 02:00:00,34.0,22.5,14.0,300.0,68.0,8.1,0.0
2013-03-04 03:00:00,12.0,6.0,12.0,350.0,77.0,7.2,0.0
2013-03-04 04:00:00,7.0,14.0,28.5,400.0,42.0,6.0,0.0
2013-03-04 05:00:00,10.0,18.0,45.0,400.0,40.0,2.7,0.0
2013-03-04 06:00:00,13.0,24.0,65.0,500.0,22.0,3.8,0.0
2013-03-04 07:00:00,14.0,30.0,70.0,600.0,17.0,6.5,0.0
2013-03-04 08:00:00,13.0,38.0,70.0,700.0,21.0,9.0,0.0
2013-03-04 09:00:00,15.0,26.0,36.0,500.0,52.0,10.6,0.0
2013-03-04 10:00:00,16.0,22.0,36.0,600.0,57.0,11.9,0.0
2013-03-04 11:00:00,18.0,18.0,27.0,400.0,68.0,13.1,0.0
2013-03-04 12:00:00,13.0,12.0,14.0,400.0,77.0,14.2,0.0
2013-03-04 13:00:00,3.0,7.0,12.0,300.0,82.0,15.3,0.0
2013-03-04 14:00:00,3.0,8.0,13.0,400.0,84.0,15.2,0.0
2013-03-04 15:00:00,10.0,9.0,15.0,400.0,84.0,15.3,0.0
2013-03-04 16:00:00,14.0,10.0,34.0,500.0,70.0,14.5,0.0
2013-03-04 17:00:00,20.0,14.0,40.0,500.0,78.0,12.7,0.0
2013-03-04 18:00:00,25.0,13.0,43.0,600.0,75.0,11.6,0.0
2013-03-04 19:00:00,31.0,17.0,61.0,700.0,53.0,10.9,0.0
2013-03-04 20:00:00,34.0,18.0,76.0,800.0,40.0,9.9,0.0
2013-03-04 21:00:00,40.0,40.0,76.0,800.0,39.0,8.4,0.0
2013-03-04 22:00:00,51.0,46.0,85.0,1000.0,31.0,8.6,0.0
2013-03-04 23:00:00,58.0,46.0,86.0,1100.0,84.0,7.7,0.0
2013-03-05 00:00:00,71.0,66.0,78.0,1100.0,84.0,4.7,0.0
2013-03-05 01:00:00,91.0,75.0,75.0,1200.0,84.0,1.1,0.0
2013-03-05 02:00:00,100.0,58.0,79.0,1200.0,84.0,-0.6,0.0
2013-03-05 03:00:00,103.0,66.0,83.0,1399.0,84.0,0.2,0.0
2013-03-05 04:00:00,115.0,76.0,92.0,2299.0,84.0,1.8,0.0
2013-03-05 05:00:00,117.0,91.0,91.0,2399.0,84.0,0.6,0.0
2013-03-05 06:00:00,104.0,94.0,89.0,2200.0,84.0,-0.2,0.0
2013-03-05 07:00:00,106.0,82.0,87.0,2299.0,84.0,2.9,0.0
2013-03-05 08:00:00,111.0,101.0,87.0,2399.0,84.0,5.1,0.0
2013-03-05 09:00:00,114.0,114.0,92.0,2899.0,84.0,7.7,0.0
2013-03-05 10:00:00,131.0,107.0,104.0,2700.0,84.0,9.4,0.0
2013-03-05 11:00:00,138.0,109.0,115.0,2299.0,84.0,10.6,0.0
2013-03-05 12:00:00,142.0,104.0,136.0,2299.0,15.0,11.9,0.0
2013-03-05 13:00:00,163.0,94.0,147.0,2200.0,84.0,12.6,0.0
2013-03-05 14:00:00,168.0,85.0,158.0,2100.0,84.0,13.5,0.0
2013-03-05 15:00:00,165.0,85.0,172.0,2200.0,78.0,13.8,0.0
2013-03-05 16:00:00,166.0,97.0,194.0,2700.0,78.0,13.2,0.0
2013-03-05 17:00:00,190.0,101.0,204.0,2799.0,75.0,12.1,0.0
2013-03-05 18:00:00,203.0,107.0,197.0,2500.0,53.0,9.0,0.0
2013-03-05 19:00:00,210.0,103.0,188.0,2200.0,40.0,5.3,0.0
2013-03-05 20:00:00,205.0,106.0,189.0,2500.0,39.0,3.3,0.0
2013-03-05 21:00:00,215.0,93.0,178.0,3100.0,31.0,2.9,0.0
2013-03-05 22:00:00,219.0,92.0,169.0,3200.0,29.0,5.2,0.0
2013-03-05 23:00:00,226.0,147.0,184.0,4400.0,29.0,4.9,0.0
2013-03-06 00:00:00,284.0,133.0,174.0,4000.0,28.0,4.9,0.0
2013-03-06 01:00:00,272.0,131.0,166.0,4000.0,22.0,4.8,0.0
2013-03-06 02:00:00,242.0,109.0,146.0,3200.0,22.0,4.1,0.0
2013-03-06 03:00:00,212.0,90.0,141.0,2600.0,22.0,4.0,0.0
2013-03-06 04:00:00,192.0,83.6808,140.4252,2550.0,22.0,3.9,0.0
2013-03-06 05:00:00,188.0,92.0,143.0,2500.0,22.0,4.1,0.0
2013-03-06 06:00:00,186.0,94.0,131.0,2600.0,22.0,4.5,0.0
2013-03-06 07:00:00,188.0,92.0,129.0,2700.0,22.0,5.7,0.0
2013-03-06 08:00:00,194.0,102.0,113.0,2500.0,22.0,6.6,0.0
2013-03-06 09:00:00,184.0,98.0,102.0,2399.0,22.0,7.5,0.0
2013-03-06 10:00:00,175.0,107.0,103.0,2600.0,22.0,8.7,0.0
2013-03-06 11:00:00,179.0,119.0,105.0,2399.0,22.0,10.1,0.0
2013-03-06 12:00:00,192.0,124.0,113.0,2299.0,22.0,11.1,0.0
2013-03-06 13:00:00,201.0,126.0,136.0,2700.0,22.0,12.6,0.0
2013-03-06 14:00:00,230.0,130.0,146.0,2799.0,14.0,14.5,0.0
2013-03-06 15:00:00,246.0,140.0,157.0,2899.0,10.0,14.7,0.0
2013-03-06 16:00:00,248.0,154.0,146.0,2799.0,17.0,14.2,0.0
2013-03-06 17:00:00,230.0,145.0,171.0,3200.0,17.0,11.6,0.0
2013-03-06 18:00:00,239.0,142.0,177.0,3500.0,17.0,6.8,0.0
2013-03-06 19:00:00,242.0,124.0,164.0,3700.0,17.0,5.1,0.0
2013-03-06 20:00:00,254.0,107.0,154.0,4200.0,17.0,4.4,0.0
2013-03-06 21:00:00,266.0,117.0,159.0,3799.0,17.0,3.8,0.0
2013-03-06 22:00:00,254.0,111.0,148.0,4099.0,17.0,2.4,0.0
2013-03-06 23:00:00,260.0,119.0,145.0,4000.0,17.0,2.3,0.0
2013-03-07 00:00:00,250.0,102.0,139.0,4000.0,17.0,1.5,0.0
2013-03-07 01:00:00,240.0,91.0,127.0,4000.0,17.0,0.7,0.0
2013-03-07 02:00:00,238.0,83.0,133.0,4000.0,17.0,1.5,0.0
2013-03-07 03:00:00,243.0,86.0,121.0,4099.0,17.0,0.3,0.0
2013-03-07 04:00:00,246.0,57.0,113.0,5000.0,17.0,-0.9,0.0
2013-03-07 05:00:00,275.0,46.0,103.0,5599.0,17.0,1.6,0.0
2013-03-07 06:00:00,306.0,41.0,114.0,5700.0,17.0,0.3,0.0
2013-03-07 07:00:00,320.0,46.0,124.0,4599.0,17.0,2.4,0.0
2013-03-07 08:00:00,292.0,78.0,106.0,3700.0,17.0,8.3,0.0
2013-03-07 09:00:00,251.0,182.0,116.0,3299.0,17.0,10.1,0.0
2013-03-07 10:00:00,228.0,166.0,135.0,3200.0,17.0,12.7,0.0
2013-03-07 11:00:00,217.0,169.0,171.0,4000.0,17.0,16.5,0.0
2013-03-07 12:00:00,255.0,154.0,201.0,4000.0,17.0,17.1,0.0
2013-03-07 13:00:00,258.0,111.0,226.0,3700.0,17.0,17.7,0.0
2013-03-07 14:00:00,277.0,102.0,167.0,2899.0,39.0,18.3,0.0
2013-03-07 15:00:00,282.0,79.0,130.0,2399.0,61.0,18.6,0.0
2013-03-07 16:00:00,267.0,62.0,97.0,1899.0,80.0,17.9,0.0
2013-03-07 17:00:00,216.0,64.0,86.0,1600.0,84.0,15.4,0.0
2013-03-07 18:00:00,201.0,76.0,125.0,1899.0,84.0,14.4,0.0
2013-03-07 19:00:00,211.0,79.0,173.0,2399.0,10.0,13.4,0.0
2013-03-07 20:00:00,227.0,99.0,207.0,3399.0,84.0,11.8,0.0
2013-03-07 21:00:00,282.0,114.0,213.0,4000.0,84.0,9.2,0.0
2013-03-07 22:00:00,363.0,126.0,210.0,4000.0,84.0,7.5,0.0
2013-03-07 23:00:00,376.0,128.0,209.0,3799.0,84.0,6.6,0.0
2013-03-08 00:00:00,344.0,107.0,195.0,3799.0,84.0,4.1,0.0
2013-03-08 01:00:00,339.0,90.0,177.0,4099.0,84.0,3.3,0.0
2013-03-08 02:00:00,339.0,80.5,162.0,3899.0,84.0,2.5,0.0
2013-03-08 03:00:00,324.0,71.0,154.0,3599.0,84.0,1.8,0.0
2013-03-08 04:00:00,322.0,62.0,149.0,3299.0,84.0,1.3,0.0
2013-03-08 05:00:00,315.0,47.0,144.0,3200.0,84.0,1.4,0.0
2013-03-08 06:00:00,310.0,45.0,146.0,3299.0,84.0,1.1,0.0
2013-03-08 07:00:00,309.0,44.0,145.0,4099.0,84.0,5.7,0.0
2013-03-08 08:00:00,310.0,88.0,137.0,4900.0,84.0,10.9,0.0
2013-03-08 09:00:00,326.0,144.0,149.0,5200.0,84.0,16.9,0.0
2013-03-08 10:00:00,326.0,125.9496,179.2269,4150.0,84.0,19.1,0.0
2013-03-08 11:00:00,219.0,83.0,160.0,3100.0,84.0,20.5,0.0
2013-03-08 12:00:00,104.0,37.0,101.0,1399.0,84.0,21.7,0.0
2013-03-08 13:00:00,121.0,40.0,96.0,1300.0,84.0,22.5,0.0
2013-03-08 14:00:00,184.0,49.0,104.0,1800.0,84.0,17.4,0.0
2013-03-08 15:00:00,330.0,102.0,139.0,3600.0,84.0,13.9,0.0
2013-03-08 16:00:00,172.0,84.0,84.0,1700.0,84.0,11.9,0.0
2013-03-08 17:00:00,114.0,68.0,68.0,1100.0,68.0,10.3,0.0
2013-03-08 18:00:00,82.0,55.0,63.0,900.0,68.0,9.3,0.0
2013-03-08 19:00:00,84.0,46.0,73.0,1100.0,68.0,8.0,0.0
2013-03-08 20:00:00,91.0,48.0,65.0,1000.0,68.0,7.9,0.0
2013-03-08 21:00:00,81.0,43.0,61.0,1100.0,68.0,7.2,0.0
2013-03-08 22:00:00,90.0,45.0,68.0,1399.0,68.0,6.3,0.0
2013-03-08 23:00:00,79.0,53.0,63.0,1500.0,68.0,5.7,0.0
2013-03-09 00:00:00,49.0,53.0,70.0,1600.0,68.0,3.6,0.0
2013-03-09 01:00:00,89.0,54.0,84.0,1899.0,68.0,2.1,0.0
2013-03-09 02:00:00,89.0,44.0,97.0,2299.0,68.0,1.4,0.0
2013-03-09 03:00:00,98.0,42.0,94.0,2299.0,68.0,1.1,0.0
2013-03-09 04:00:00,97.0,52.0,97.0,2399.0,68.0,1.8,0.0
2013-03-09 05:00:00,102.0,52.0,93.0,2500.0,68.0,3.2,0.0
2013-03-09 06:00:00,110.0,44.0,83.0,2600.0,68.0,2.8,0.0
2013-03-09 07:00:00,108.0,51.0,85.0,2100.0,68.0,4.6,0.0
2013-03-09 08:00:00,104.0,70.0,82.0,2100.0,68.0,8.4,0.0
2013-03-09 09:00:00,113.0,108.0,86.0,1899.0,68.0,16.3,0.0
2013-03-09 10:00:00,145.0,122.0,86.0,2200.0,68.0,16.7,0.0
2013-03-09 11:00:00,69.0,50.0,21.0,400.0,68.0,14.3,0.0
2013-03-09 12:00:00,78.0,10.0,10.0,300.0,68.0,12.4,0.0
2013-03-09 13:00:00,49.0,4.0,7.0,300.0,76.0,10.3,0.0
2013-03-09 14:00:00,47.0,3.0,6.0,300.0,81.0,10.5,0.0
2013-03-09 15:00:00,28.0,3.0,8.0,300.0,81.0,10.2,0.0
2013-03-09 16:00:00,21.0,3.0,9.0,300.0,81.0,10.5,0.0
2013-03-09 17:00:00,14.0,4.0,9.0,300.0,81.0,8.6,0.0
2013-03-09 18:00:00,17.0,4.0,10.0,300.0,81.0,7.4,0.0
2013-03-09 19:00:00,15.0,5.0,10.0,400.0,81.0,6.4,0.0
2013-03-09 20:00:00,18.0,4.0,7.0,400.0,82.0,5.6,0.0
2013-03-09 21:00:00,12.0,4.0,8.0,400.0,82.0,4.8,0.0
2013-03-09 22:00:00,11.0,6.0,8.0,300.0,82.0,3.8,0.0
2013-03-09 23:00:00,6.0,8.0,10.0,400.0,82.0,0.8,0.0
2013-03-10 00:00:00,11.0,6.0,16.0,400.0,82.0,-0.5,0.0
2013-03-10 01:00:00,11.0,10.0,25.0,400.0,82.0,-0.2,0.0
2013-03-10 02:00:00,6.0,14.0,41.0,400.0,82.0,-2.1,0.0
2013-03-10 03:00:00,10.0,17.0,55.0,500.0,82.0,-2.0,0.0
2013-03-10 04:00:00,18.0,17.0,76.0,500.0,82.0,-1.3,0.0
2013-03-10 05:00:00,21.0,18.0,80.0,700.0,82.0,-1.8,0.0
2013-03-10 06:00:00,18.0,21.0,73.0,800.0,82.0,-2.0,0.0
2013-03-10 07:00:00,24.0,21.0,82.0,1500.0,82.0,3.5,0.0
2013-03-10 08:00:00,31.0,33.0,84.0,1300.0,82.0,5.3,0.0
2013-03-10 09:00:00,26.0,34.0,69.0,900.0,82.0,6.8,0.0
2013-03-10 10:00:00,27.0,28.0,55.0,700.0,82.0,8.3,0.0
2013-03-10 11:00:00,30.0,20.0,40.0,800.0,82.0,9.8,0.0
2013-03-10 12:00:00,28.0,21.0,34.0,700.0,82.0,10.4,0.0
2013-03-10 13:00:00,34.0,20.0,30.0,600.0,82.0,11.2,0.0
2013-03-10 14:00:00,28.0,17.0,28.0,500.0,82.0,11.4,0.0
2013-03-10 15:00:00,37.0,17.0,27.0,500.0,82.0,11.3,0.0
2013-03-10 16:00:00,36.0,18.0,26.0,500.0,84.0,10.4,0.0
2013-03-10 17:00:00,38.0,25.0,33.0,500.0,84.0,9.1,0.0
2013-03-10 18:00:00,44.0,27.0,34.0,600.0,84.0,8.2,0.0
2013-03-10 19:00:00,60.0,28.0,39.0,700.0,84.0,7.7,0.0
2013-03-10 20:00:00,70.0,33.0,61.0,800.0,84.0,7.4,0.0
2013-03-10 21:00:00,64.0,28.0,62.0,800.0,84.0,6.5,0.0
2013-03-10 22:00:00,70.0,31.0,60.0,900.0,84.0,5.9,0.0
2013-03-10 23:00:00,81.0,46.0,62.0,1000.0,84.0,3.0,0.0
2013-03-11 00:00:00,90.0,55.0,69.0,1100.0,84.0,0.3,0.0
2013-03-11 01:00:00,95.0,57.0,78.0,1100.0,84.0,-0.7,0.0
2013-03-11 02:00:00,95.0,53.0,76.0,1100.0,84.0,-1.7,0.0
2013-03-11 03:00:00,96.0,56.0,78.0,1100.0,84.0,-2.1,0.0
2013-03-11 04:00:00,97.0,55.0,80.0,1100.0,84.0,-1.6,0.0
2013-03-11 05:00:00,106.0,49.0,76.0,1200.0,84.0,-2.3,0.0
2013-03-11 06:00:00,114.0,40.0,76.0,1600.0,84.0,-2.1,0.0
2013-03-11 07:00:00,112.0,62.0,77.0,2100.0,84.0,1.3,0.0
2013-03-11 08:00:00,113.0,71.0,77.0,2600.0,84.0,3.1,0.0
2013-03-11 09:00:00,120.0,96.0,89.0,2500.0,84.0,4.6,0.0
2013-03-11 10:00:00,141.0,102.0,97.0,2500.0,84.0,6.7,0.0
2013-03-11 11:00:00,140.0,96.0,105.0,2299.0,84.0,7.6,0.0
2013-03-11 12:00:00,149.0,99.0,118.0,2200.0,84.0,9.7,0.0
2013-03-11 13:00:00,150.0,114.0,124.0,2100.0,84.0,11.3,0.0
2013-03-11 14:00:00,114.0,99.0,80.0,1100.0,84.0,11.4,0.0
2013-03-11 15:00:00,106.0,96.0,69.0,1000.0,84.0,10.7,0.0
2013-03-11 16:00:00,113.0,109.0,76.0,1100.0,76.0,10.4,0.0
2013-03-11 17:00:00,132.0,148.0,90.0,1700.0,76.0,9.7,0.0
2013-03-11 18:00:00,149.0,161.0,100.0,2100.0,71.0,9.7,0.0
2013-03-11 19:00:00,144.0,90.0,98.0,1500.0,51.0,9.6,0.0
2013-03-11 20:00:00,156.0,103.0,116.0,1899.0,47.0,9.8,0.0
2013-03-11 21:00:00,174.0,124.0,121.0,2200.0,47.0,9.6,0.0
2013-03-11 22:00:00,152.0,88.0,109.0,1600.0,47.0,9.3,0.0
2013-03-11 23:00:00,113.0,62.0,97.0,1300.0,47.0,8.6,0.0
2013-03-12 00:00:00,89.0,50.0,80.0,1100.0,47.0,6.3,0.0
2013-03-12 01:00:00,106.0,56.0,91.0,1600.0,47.0,4.8,0.0
2013-03-12 02:00:00,125.0,56.0,86.0,1899.0,47.0,5.3,0.0
2013-03-12 03:00:00,117.0,73.0,81.0,1649.0,47.0,6.4,0.1
2013-03-12 04:00:00,112.0,68.0,81.0,1399.0,47.0,4.3,0.4
2013-03-12 05:00:00,140.0,34.0,74.0,2100.0,47.0,4.7,0.1
2013-03-12 06:00:00,146.0,22.0,66.0,2100.0,47.0,4.1,0.9
2013-03-12 07:00:00,115.0,21.0,77.0,2100.0,47.0,3.5,0.9
2013-03-12 08:00:00,120.0,17.0,78.0,1600.0,47.0,3.1,0.4
2013-03-12 09:00:00,116.0,16.0,76.0,1600.0,47.0,3.4,0.0
2013-03-12 10:00:00,123.0,16.0,71.0,1700.0,47.0,3.7,0.0
2013-03-12 11:00:00,130.0,16.0,69.0,1800.0,47.0,4.4,0.0
2013-03-12 12:00:00,132.0,14.0,75.0,1600.0,47.0,4.8,0.0
2013-03-12 13:00:00,129.0,15.0,68.0,1500.0,47.0,5.3,0.1
2013-03-12 14:00:00,139.0,15.0,67.0,1600.0,47.0,5.6,0.0
2013-03-12 15:00:00,135.0,15.0,63.0,1600.0,39.0,6.4,0.0
2013-03-12 16:00:00,133.0,17.0,63.0,1500.0,28.0,6.6,0.0
2013-03-12 17:00:00,141.0,19.0,70.0,1600.0,21.0,6.4,0.0
2013-03-12 18:00:00,124.0,21.0,79.0,1800.0,20.0,5.8,0.0
2013-03-12 19:00:00,137.0,20.0,75.0,2000.0,12.0,3.3,0.0
2013-03-12 20:00:00,160.0,17.0,74.0,1800.0,12.0,2.9,0.0
2013-03-12 21:00:00,140.0,16.0,68.0,1700.0,12.0,3.6,0.0
2013-03-12 22:00:00,88.0,16.0,63.0,1100.0,12.0,1.9,0.0
2013-03-12 23:00:00,50.0,30.0,54.0,800.0,17.0,3.8,0.0
2013-03-13 00:00:00,22.0,28.0,21.0,400.0,56.0,3.4,0.0
2013-03-13 01:00:00,10.0,16.0,14.0,300.0,68.0,2.7,0.0
2013-03-13 02:00:00,10.0,12.0,16.0,300.0,68.0,2.8,0.0
2013-03-13 03:00:00,7.0,11.0,15.0,300.0,69.0,2.4,0.0
2013-03-13 04:00:00,11.0,11.0,16.0,400.0,69.0,0.3,0.0
2013-03-13 05:00:00,3.0,13.0,20.0,400.0,69.0,-0.9,0.0
2013-03-13 06:00:00,3.0,17.0,24.0,500.0,69.0,0.8,0.0
2013-03-13 07:00:00,3.0,21.0,40.0,600.0,69.0,3.7,0.0
2013-03-13 08:00:00,8.0,35.0,62.0,700.0,69.0,4.8,0.0
2013-03-13 09:00:00,20.0,27.0,43.0,600.0,69.0,5.5,0.0
2013-03-13 10:00:00,16.0,22.0,32.0,500.0,69.0,6.4,0.0
2013-03-13 11:00:00,14.0,14.0,26.0,400.0,69.0,6.6,0.0
2013-03-13 12:00:00,12.0,10.0,19.0,400.0,71.0,7.6,0.0
2013-03-13 13:00:00,17.0,11.0,24.0,400.0,71.0,8.5,0.0
2013-03-13 14:00:00,15.0,10.0,19.0,400.0,77.0,9.5,0.0
2013-03-13 15:00:00,3.0,11.0,24.0,400.0,77.0,9.7,0.0
2013-03-13 16:00:00,3.0,11.0,26.0,400.0,77.0,9.1,0.0
2013-03-13 17:00:00,3.0,12.0,37.0,500.0,77.0,7.1,0.0
2013-03-13 18:00:00,23.0,12.0,52.0,600.0,77.0,6.1,0.0
2013-03-13 19:00:00,31.0,15.0,64.0,700.0,77.0,5.5,0.0
2013-03-13 20:00:00,37.0,16.0,64.0,700.0,77.0,5.0,0.0
2013-03-13 21:00:00,35.0,16.0,67.0,700.0,77.0,4.8,0.0
2013-03-13 22:00:00,37.0,18.0,67.0,700.0,77.0,4.0,0.0
2013-03-13 23:00:00,42.0,21.0,74.0,800.0,77.0,2.9,0.0
2013-03-14 00:00:00,62.0,19.0,71.0,1100.0,77.0,2.5,0.0
2013-03-14 01:00:00,71.0,11.0,67.0,1399.0,77.0,1.6,0.0
2013-03-14 02:00:00,60.0,10.0,65.0,1399.0,77.0,1.3,0.0
2013-03-14 03:00:00,65.0,11.0,60.0,1200.0,77.0,-0.1,0.0
2013-03-14 04:00:00,49.0,12.0,57.0,1200.0,77.0,-0.5,0.0
2013-03-14 05:00:00,72.0,12.0,67.0,1500.0,77.0,-0.8,0.0
2013-03-14 06:00:00,73.0,10.0,64.0,1600.0,77.0,-0.8,0.0
2013-03-14 07:00:00,69.0,10.0,55.0,1399.0,77.0,-0.4,0.0
2013-03-14 08:00:00,72.0,11.0,54.0,1500.0,77.0,0.5,0.0
2013-03-14 09:00:00,84.0,22.0,57.0,1500.0,77.0,2.2,0.0
2013-03-14 10:00:00,101.0,57.0,61.0,1600.0,77.0,3.9,0.0
2013-03-14 11:00:00,111.0,67.0,66.0,1600.0,77.0,5.5,0.0
2013-03-14 12:00:00,97.0,61.0,77.0,1700.0,77.0,7.2,0.0
2013-03-14 13:00:00,104.0,65.0,78.0,1399.0,77.0,8.7,0.0
2013-03-14 14:00:00,108.0,111.0,60.0,900.0,74.0,9.9,0.0
2013-03-14 15:00:00,105.0,116.0,56.0,1000.0,74.0,9.3,0.0
2013-03-14 16:00:00,105.0,112.0,60.0,1000.0,64.0,8.6,0.0
2013-03-14 17:00:00,106.0,113.0,66.0,1000.0,52.0,7.6,0.0
2013-03-14 18:00:00,115.0,99.0,74.0,1100.0,52.0,6.8,0.0
2013-03-14 19:00:00,119.0,74.0,78.0,1100.0,52.0,6.2,0.0
2013-03-14 20:00:00,115.0,74.0,97.0,1200.0,52.0,5.9,0.0
